communication management	social obligations management	task	feedback-value	feedback	sentiment	sentiment-value	opinion	opinion-value	emotion	emotion-value	knowledge	discourse structure management	partiality	conditionality	certainty	irony	date	time	participant	segment	raw
		requestForAction															sam. nov. 01 2014	01:40	Corwin_	fais ça et installe ubuntu sur la partition que tu as créée avant	fais ça et installe ubuntu sur la partition que tu as créée avant
		answer															sam. nov. 01 2014	01:43	tijul	Et bien en faite lors de l'installation , j'ai le choix entre formater le disque ou creer de nouvelle partition .	Et bien en faite lors de l'installation, j'ai le choix entre formater le disque ou creer de nouvelle partition.
		inform																	\	Mais je ne sais pas si creer de nouvelle partition supprimerra windows de sur ma machine	Mais je ne sais pas si creer de nouvelle partition supprimerra windows de sur ma machine
		inform																	\	et dans la doc , sur les images , l'installateur presente trois choix dont celui d'installer ubuntu a cote des autres systemes d'exploitation .	et dans la doc, sur les images, l'installateur presente trois choix dont celui d'installer ubuntu a cote des autres systemes d'exploitation.
		inform			inform	unsatisfied													\	Mais moi je n'ai pas ce choix	Mais moi je n'ai pas ce choix.
			execution	answerPositively													sam. nov. 01 2014	01:46	Corwin_	ah ouais d'accord .	ah ouais d'accord. Donc tu as peur qu'une option qui s'appelle "creer" supprime un truc
									inform	fear						ironie			\	Donc tu as peur qu'une option qui s'appelle " creer " supprime un truc	
									inform	happy							sam. nov. 01 2014	01:46	Twoll	xD	xD
			evaluation	answerPositively													sam. nov. 01 2014	01:47	tijul	J'ai peur que lors de la creation , il decide de supprimer windows oui .	J'ai peur que lors de la creation, il decide de supprimer windows oui.
		correct															sam. nov. 01 2014	01:49	Corwin_	nan mais non . 01:49 (Corwin_)>+ Il fait rien tout seul , ok y'a des boutons c'est fancy et tout , mais il va pas décider de supprimer Windows,	nan mais non. Il fait rien tout seul, ok y'a des boutons c'est fancy et tout, mais il va pas décider de supprimer Windows, Ubuntu c'est pas la meilleure distrib, mais ils ont pas codé le délit de sale gueule dans l'installateur :D
							inform	depreciate											\	Ubuntu c'est pas la meilleure distrib ,	
							inform	promote											\	mais ils ont pas codé le délit de sale gueule dans l'installateur : D	
														conditional	uncertain		sam. nov. 01 2014	01:50	Corwin_	il se peut qu'il te demande de supprimer une partition 01:50 (Corwin_)> mais seulement si tu as une partition table en MBR et que t'as déjà 4 partitions	il se peut qu'il te demande de supprimer une partition
																	sam. nov. 01 2014	01:50	Corwin_		mais seulement si tu as une partition table en MBR et que t'as déjà 4 partitions
		inform															sam. nov. 01 2014	01:51	tijul	Il me demande de selectionner un peripherique pour l'installation du programme de demarrage	Il me demande de selectionner un peripherique pour l'installation du programme de demarrage
		requestForAction															sam. nov. 01 2014	01:52	Corwin_	donc là tu dois sélectionner un disque dur 01:52 (Corwin_)> (ou autre chose mais un dd c'est bien )	donc là tu dois sélectionner un disque dur
																	sam. nov. 01 2014	01:52	Corwin_		(ou autre chose mais un dd c'est bien)
		requestForDirectives															sam. nov. 01 2014	01:52	tijul	Je choisi quoi ?	Je choisi quoi? Sachant que j'ai un partition system (pour windows) une data et un espace libre creer comme demader dans le tuto
		inform												conditional					\	Sachant que j'ai un partition system ( pour windows ) une data et un espace libre creer comme demader dans le tuto	
		answerByRequestForAction												conditional			sam. nov. 01 2014	01:53	Corwin_	donc là tu dois sélectionner un disque dur	donc là tu dois sélectionner un disque dur
			execution	answerNegatively													sam. nov. 01 2014	01:55	tijul	J'ai deja choisi le dd	J'ai deja choisi le dd, mais comme il s'apelle espace libre, l'installateur n'en veut pas. Je dois le mettre sous quel format pour qu'il l'accepte?
					inform	unsatisfied													\	mais comme il s'apelle espace libre , l'installateur n'en veut pas.	
		requestForDirective																	\	Je dois le mettre sous quel format pour qu'il l'accepte ?	
			evaluation	answerNegatively													sam. nov. 01 2014	01:55	Corwin_	wat	wat
			evaluation	correct													sam. nov. 01 2014	01:56	Corwin_	je te parle d'un périphérique physique , pas d'une partition .	je te parle d'un périphérique physique, pas d'une partition.
			execution	answerPositively													sam. nov. 01 2014	01:56	tijul	Ah ok	Ah ok
		inform															sam. nov. 01 2014	01:58	tijul	Quelque soit ce que je choisi , il me dit qu'aucun systeme de fichiers n'a ete choisi comme racine .	Quelque soit ce que je choisi, il me dit qu'aucun systeme de fichiers n'a ete choisi comme racine.
		requestForAction															sam. nov. 01 2014	01:58	Corwin_	alors choisi un système de fichier comme racine	alors choisi un système de fichier comme racine
		inform															sam. nov. 01 2014	01:59	Corwin_	t'as des boutons pour ça	t'as des boutons pour ça
									inform	disgust							sam. nov. 01 2014	01:59	Corwin_	y'a des boutons partout , c'est horrible cette distrib	y'a des boutons partout, c'est horrible cette distrib
		requestForDirective															sam. nov. 01 2014	02:01	tijul	Je met le disque en fat 32 ?	Je met le disque en fat 32? enfin la partition que je selectionne pour installer.
		inform																	\	enfin la partition que je selectionne pour installer .	
		requestForInformation															sam. nov. 01 2014	02:03	Corwin_	mais t'as pas un tuto pour ça ?	mais t'as pas un tuto pour ça ? Je te conseille plutôt de l'ext4 mais bon.
		requestForAction																	\	Je te conseille plutôt de l'ext4 mais bon .	
		answerPositively															sam. nov. 01 2014	02:04	tijul	Si	Si mais j'ai pas vu tout sa dans le tuto et je parle par mon telephone pour le faire en meme temps.
		answer																	\	mais j'ai pas vu tout sa dans le tuto et je parle par mon telephone pour le faire en meme temps .	
		requestForDirective															sam. nov. 01 2014	02:04	tijul	Je met quoi comme point de montage . 02:04 (tijul)> ?	Je met quoi comme point de montage.
																	sam. nov. 01 2014	02:04	tijul		?
																	sam. nov. 01 2014	02:06	Corwin_	tu installes ubuntu sur une seule partition ?	tu installes ubuntu sur une seule partition ?
									inform	love							sam. nov. 01 2014	02:07	tijul	Oui , je veux conserver windows quand meme pour le moment	Oui, je veux conserver windows quand meme pour le moment
																	sam. nov. 01 2014	02:10	Corwin_	donc tu mets le point de montage sur la partition en question	donc tu mets le point de montage sur la partition en question
																	sam. nov. 01 2014	02:10	tijul	Lequel ?	Lequel?
		requestForInformation	evaluation	answerNegatively													sam. nov. 01 2014	02:11	Corwin_	comment ça lequel ?	comment ça lequel ?
																	sam. nov. 01 2014	02:12	tijul	Pour le point de montage , j'ai le choix entre plusieurs point de montages	Pour le point de montage, j'ai le choix entre plusieurs point de montages
		answer	execution	requestForInformation													sam. nov. 01 2014	02:12	Corwin_	/ ?	/ ?
																	sam. nov. 01 2014	02:13	tijul	j'ai different choix	j'ai different choix
																	sam. nov. 01 2014	02:13	tijul	je met quoi ? 02:14 (tijul)> ( /, / home , / boot et etc)	je met quoi?
																	sam. nov. 01 2014	02:14	tijul		( /, /home, /boot et etc)
																	sam. nov. 01 2014	02:16	tijul	desole mauvaise manip	desole mauvaise manip
		answer	execution	requestForInformation													sam. nov. 01 2014	02:21	Corwin_	/ ?	/ ?
																	sam. nov. 01 2014	03:06	plaosap	hi	hi
																	sam. nov. 01 2014	03:07	plaosap	i 'm a new user of lubuntu	i'm a new user of lubuntu and i use the console mode but have some difficulties
					inform	unsatisfied						introduceTopic							\	and i use the console mode but have some difficulties	
		requestForHelp															sam. nov. 01 2014	03:07	plaosap	someone can help ?	someone can help ?
																	sam. nov. 01 2014	10:05	gaara	salut	salut
		requestForInformation										introduceTopic					sam. nov. 01 2014	10:08	gaara	le forum n'est plus accessible ?	le forum n'est plus accessible ?
																	sam. nov. 01 2014	10:09	nW44b	on dirait	on dirait
															uncertain		sam. nov. 01 2014	10:09	nW44b	ça va surement vite revenir	ça va surement vite revenir
			execution	answerPositively													sam. nov. 01 2014	10:10	gaara	ok	ok merci
																			\	merci	
																	sam. nov. 01 2014	10:10	nesthib	petit soucis de sql	petit soucis de sql
																	sam. nov. 01 2014	10:11	nesthib	j'essaie de voir ce qui ne va pas	j'essaie de voir ce qui ne va pas
																	sam. nov. 01 2014	10:22	davlefou	Bonjour ,	Bonjour,
		requestForInformation	interpretation	answerNegatively								introduceTopic					sam. nov. 01 2014	10:22	davlefou	sql ?	sql?
		requestForInformation										introduceTopic					sam. nov. 01 2014	10:22	davlefou	Es ce que firefox os marche bien avec linux ?	Es ce que firefox os marche bien avec linux?
																	sam. nov. 01 2014	10:34	nW44b	sql c'est un langage servant à exploiter des bases de données	sql c'est un langage servant à exploiter des bases de données
									inform	unhappy							sam. nov. 01 2014	10:34	nesthib	les pauvres bases de données !	les pauvres bases de données !
									inform	anger							sam. nov. 01 2014	10:36	nW44b	LIBÉREZ LES BASES DE DONNÉES !	LIBÉREZ LES BASES DE DONNÉES !
					inform	satisfied									uncertain		sam. nov. 01 2014	10:44	nesthib	le forum devrait être à nouveau opérationnel	le forum devrait être à nouveau opérationnel
		inform															sam. nov. 01 2014	10:46	gaara	j'ai cette erreur :	j'ai cette erreur: "Error: Unable to delete expired ban." Je suis banni ? :o
																			\	"Error : 10:46 (gaara)>+ Unable to delete expired ban ."	
																			\	Je suis banni ?	
									inform	negativeSurprise									\	:o	
		correct															sam. nov. 01 2014	10:54	nesthib	non gaara , c'était la cause du blocage	non gaara, c'était la cause du blocage
		correct							inform	happy							sam. nov. 01 2014	10:54	nesthib	rien à voir avec toi ;)	rien à voir avec toi ;)
																	sam. nov. 01 2014	10:55	nesthib	toutefois si tu avais à nouveau des erreurs , tu peux le signaler	toutefois si tu avais à nouveau des erreurs, tu peux le signaler
		inform			inform	unsatisfied											sam. nov. 01 2014	10:56	yann2	le forum est encore down ici aussi	le forum est encore down ici aussi
		requestForAction															sam. nov. 01 2014	10:56	nesthib	tu peux fermer ton navigateur ( éventuellement vider le cache ) et recommencer ?	tu peux fermer ton navigateur (éventuellement vider le cache) et recommencer ?
		commit															sam. nov. 01 2014	10:57	gaara	je vais essayer aussi	je vais essayer aussi
		answerPositively															sam. nov. 01 2014	10:57	nesthib	ah oui tiens	ah oui tiens
		answerPositively															sam. nov. 01 2014	10:57	yann2	yup essayé avec un autre browser	yup essayé avec un autre browser, meme chose - nesthib c est peut etre du au fait que je ne suis pas logué et toi si?
					inform	unsatisfied													\	meme chose	
																			\	nesthib c est peut etre du au fait que je ne suis pas logué et toi si ?	
																	sam. nov. 01 2014	10:58	nesthib	quand je me connecte depuis une autre session j'ai la même chose	quand je me connecte depuis une autre session j'ai la même chose
					inform	unsatisfied											sam. nov. 01 2014	10:59	gaara	toujours la même erreur chez moi	toujours la même erreur chez moi
		answerPositively	execution														sam. nov. 01 2014	11:00	nesthib	oui je viens de voir ça	oui je viens de voir ça
					inform	satisfied											sam. nov. 01 2014	11:00	nesthib	alors que ça fonctionne parfaitement depuis une session toujours connectée	alors que ça fonctionne parfaitement depuis une session toujours connectée
																	sam. nov. 01 2014	11:01	yann2	http://fluxbb.org/forums/viewtopic.php?id=8001	http://fluxbb.org/forums/viewtopic.php?id=8001
inform									inform	happy					uncertain		sam. nov. 01 2014	11:02	yann2	j espere que le forum est bien a jour :)	j espere que le forum est bien a jour :)
																	sam. nov. 01 2014	11:06	obirage	bonjour a tous	bonjour a tous
																	sam. nov. 01 2014	11:06	gaara	salut	salut
		requestForInformation										introduceTopic					sam. nov. 01 2014	11:06	obirage	est il possible de détecter si une fenetre est maximisée avec devilspie ?	est il possible de détecter si une fenetre est maximisée avec devilspie?
									inform	love							sam. nov. 01 2014	11:06	obirage	(je voudrais retirer la bordure si elle est maximisée )	(je voudrais retirer la bordure si elle est maximisée)
																	sam. nov. 01 2014	11:09	gaara	je ne sais pas obirage	je ne sais pas obirage
					inform	satisfied											sam. nov. 01 2014	11:13	yann2	ah bon ca remarche :)	ah bon ca remarche :)
					inform	satisfied							partial				sam. nov. 01 2014	11:14	yann2	enfin la page d acceuil du forum juste : D	enfin la page d acceuil du forum juste :D
																	sam. nov. 01 2014	11:14	nW44b	ddosez pas	ddosez pas
																	sam. nov. 01 2014	11:14	nW44b	le forum à coup de f5	le forum à coup de f5
																	sam. nov. 01 2014	11:15	nesthib	1	1
					inform	satisfied											sam. nov. 01 2014	11:15	nesthib	j'arrive même pas à voir les logs	j'arrive même pas à voir les logs
							inform	depreciate								ironie	sam. nov. 01 2014	11:15	nesthib	:p	:p
																	sam. nov. 01 2014	11:15	nW44b	sinon ya fping pour ça hein	sinon ya fping pour ça hein
																	sam. nov. 01 2014	11:16	Marmotte	un truc comme ça ? 11:16 (Marmotte)>+ >(obirage) https://code.google.com/p/devilspie-star/issues/detail?id=1	un truc comme ça ? https://code.google.com/p/devilspie-star/issues/detail?id=1
					inform	satisfied								conditional			sam. nov. 01 2014	11:16	Marmotte	j'ai pas testé , mais ça semble correspondre , si c'est valide : D	j'ai pas testé, mais ça semble correspondre, si c'est valide :D
		inform			inform	unsatisfied											sam. nov. 01 2014	11:17	gaara	j'ai toujours un 502 moi	j'ai toujours un 502 moi
																	sam. nov. 01 2014	11:17	obirage	merci ,	merci, je teste :)
		commit																	\	je teste :)	
		inform			inform	satisfied											sam. nov. 01 2014	11:19	gaara	ah non c'est bon , ça remarche aussi	ah non c'est bon, ça remarche aussi
		inform			inform	unsatisfied											sam. nov. 01 2014	11:20	obirage	visiblement , ça ne fonctionne pas...	visiblement, ça ne fonctionne pas...
		inform			inform	satisfied									uncertain		sam. nov. 01 2014	11:25	gaara	bon ça a l'air de fonctionner , dernier message hier à 22h59 .	bon ça a l'air de fonctionner, dernier message hier à 22h59. Merci nesthib
																			\	Merci nesthib	
		correct			inform	unsatisfied											sam. nov. 01 2014	11:26	nesthib	non c'est pas bon gaara il y a toujours des 502	non c'est pas bon gaara il y a toujours des 502
		answerPositively												conditional			sam. nov. 01 2014	11:27	gaara	ah oui , sur certains fils	ah oui, sur certains fils
		correct			inform	unsatisfied											sam. nov. 01 2014	11:29	nesthib	partout en fait , c'est aléatoire	partout en fait, c'est aléatoire
					requestForInformation	satisfied											sam. nov. 01 2014	11:39	olive	ça va mieux là , non ?	ça va mieux là, non ?
																	sam. nov. 01 2014	11:52	Scorp-	Bonjour	Bonjour
																	sam. nov. 01 2014	11:52	Calinou	salut	salut
																	sam. nov. 01 2014	11:56	aDrz	hello , hello , hello !	hello, hello, hello !
																	sam. nov. 01 2014	11:57	aDrz	bonne journée à vous ,	bonne journée à vous, je chercherais un petit coup de pouce
		requestForHelp																	\	je chercherais un petit coup de pouce	
												introduceTopic					sam. nov. 01 2014	11:58	aDrz	j'ai ce message suivant http://paste.ubuntu-fr-secours.org/src-139209	j'ai ce message suivant http://paste.ubuntu-fr-secours.org/src-139209
																	sam. nov. 01 2014	11:59	nW44b	mhhhh ,	mhhhh, essaie de supprimer le fichier ubuntu-mate-default-settings_0.3.9~trusty2_all.deb
																				essaie de supprimer le fichier ubuntu-mate-default-settings_0.3.9~trusty2_all.deb	
					inform	unsatisfied											sam. nov. 01 2014	11:59	aDrz	et forcément je n'arrive pas à m'en débarrasser	et forcéement je n'arrive pas à m'en débarrasser
		inform															sam. nov. 01 2014	12:00	aDrz	apt-get remove ubuntu-mate-default	apt-get remove ubuntu-mate-default
																	sam. nov. 01 2014	12:00	aDrz	il est pas installer	il est pas installer
		requestForAction															sam. nov. 01 2014	12:00	nW44b	sudo rm / var/cache/apt/archives/ubuntu-mate-default-settings_0.3.9~trusty2_all.deb	sudo rm /var/cache/apt/archives/ubuntu-mate-default-settings_0.3.9~trusty2_all.deb
			execution	answerPositively													sam. nov. 01 2014	12:00	aDrz	okay	okay thx
																			\	thx	
		requestForAction															sam. nov. 01 2014	12:00	nW44b	ensuite réessaie de l'installer	ensuite réessaie de l'installer
		inform													uncertain		sam. nov. 01 2014	12:00	nW44b	on dirait que le paquet n'a pas été bien téléchargé	on dirait que le paquet n'a pas été bien téléchargé
															uncertain		sam. nov. 01 2014	12:00	nW44b	enfin c'est l'impression que j'ai	enfin c'est l'impression que j'ai
		answerNegatively															sam. nov. 01 2014	12:00	aDrz	nope	nope
		correct															sam. nov. 01 2014	12:01	aDrz	retelecharger	retelecharger
		inform			inform	unsatisfied											sam. nov. 01 2014	12:01	aDrz	même erreur	même erreur
			execution	answerPositively													sam. nov. 01 2014	12:01	nW44b	ok	ok
		requestForAction															sam. nov. 01 2014	12:01	nW44b	et si tu fais un : 12:01 (nW44b)>+ sudo apt-get install - f	et si tu fais un : sudo apt-get install -f
		requestForInformation															sam. nov. 01 2014	12:01	nW44b	il te dit la même chose ?	il te dit la même chose ?
																	sam. nov. 01 2014	12:01	aDrz	exactement	exactement
																	sam. nov. 01 2014	12:02	nW44b	tu as installé mate via les dépots officiels et tu retentes une autre install via un ppa ?	tu as installé mate via les dépots officiels et tu retentes une autre install via un ppa ?
																	sam. nov. 01 2014	12:02	aDrz	alors 12:02 (aDrz)> c'était pendant un upgrade	alors
																	sam. nov. 01 2014	12:02	aDrz		c'était pendant un upgrade
																	sam. nov. 01 2014	12:03	aDrz	et j'ai du installer le ppa 12:03 (aDrz)> il y a longtemps	et j'ai du installer le ppa
																	sam. nov. 01 2014	12:03	aDrz		il y a longtemps
					inform	unsatisfied											sam. nov. 01 2014	12:03	nW44b	c'est bizare ce conflit , je ne capte pas	c'est bizare ce conflit, je ne capte pas
					inform	unsatisfied											sam. nov. 01 2014	12:04	aDrz	ah ben moi non plus	ah ben moi non plus
																	sam. nov. 01 2014	12:04	aDrz	j'ai essayé 12:04 (aDrz)> de supprimer mate 12:04 (aDrz)> le reinstaller	j'ai essayé
																	sam. nov. 01 2014	12:04	aDrz		de supprimer mate
																	sam. nov. 01 2014	12:04	aDrz		le reinstaller
					inform	unsatisfied											sam. nov. 01 2014	12:04	aDrz	toujours présent le truc	toujours présent le truc
					inform	unsatisfied											sam. nov. 01 2014	12:10	aDrz	condamné à errer dans l'ignorance pour une fichier de 7ko	condamné à errer dans l'ignorance pour une fichier de 7ko
																	sam. nov. 01 2014	12:11	mezen	sudo dpkg - i --force-overwrite / var/cache/apt/archives/ubuntu-mate-default-settings_0.3.9~trusty2_all.deb	sudo dpkg -i --force-overwrite /var/cache/apt/archives/ubuntu-mate-default-settings_0.3.9~trusty2_all.deb
																	sam. nov. 01 2014	12:11	mezen	puis sudo apt-get install - f	puis sudo apt-get install -f
	thanking								inform	happy							sam. nov. 01 2014	12:14	aDrz	woa merci	woa merci
					inform	unsatisfied											sam. nov. 01 2014	12:14	aDrz	impec	impec
																	sam. nov. 01 2014	12:17	nW44b	d'où vient le problème ?	d'où vient le problème ?
																	sam. nov. 01 2014	12:18	mezen	du fait que le paquet a été mal fait	du fait que le paquet a été mal fait
																	sam. nov. 01 2014	12:18	nW44b	arf , sérieux ?	arf, sérieux ? Et ya pas un bug reporté ?
																			\	Et ya pas un bug reporté ?	
		answerPositively															sam. nov. 01 2014	12:19	mezen	je suis dessus effectivement	je suis dessus effectivement je cherche
		inform																	\	je cherche	
		inform			inform	satisfied											sam. nov. 01 2014	12:20	mezen	j'ai trouvé la solution ici en fait	j'ai trouvé la solution ici en fait
																	sam. nov. 01 2014	12:20	mezen	http://askubuntu.com/questions/405862/trying-to-overwrite-file-already-in-shotwell-common-package-while-installing-s	http://askubuntu.com/questions/405862/trying-to-overwrite-file-already-in-shotwell-common-package-while-installing-s
														conditional			sam. nov. 01 2014	12:20	mezen	mais c'est pour le paquet shotwell	mais c'est pour le paquet shotwell
		answer										reportSpeech					sam. nov. 01 2014	12:21	mezen	un gars dit : 12:21 (mezen)>+ You should report such things to the PPA owner . 12:21 (mezen)>+ He 's not separating non-architecture specific files or setting that shotwell breaks/has conflicts with the shotwell-common package .	un gars dit: You should report such things to the PPA owner. He's not separating non-architecture specific files or setting that shotwell breaks/has conflicts with the shotwell-common package.
			execution	answerPositively													sam. nov. 01 2014	12:23	nW44b	ouais logique , c'est un ppa …	ouais logique, c'est un ppa …
		requestForAction															sam. nov. 01 2014	12:23	mezen	peut etre que c'est interessant de mettre dans la doc ce qui est expliqué ici	peut etre que c'est interessant de mettre dans la doc ce qui est expliqué ici
		inform															sam. nov. 01 2014	12:23	mezen	http://www.webupd8.org/2011/02/fix-dpkg-error-trying-to-overwrite-x.html	http://www.webupd8.org/2011/02/fix-dpkg-error-trying-to-overwrite-x.html
																	sam. nov. 01 2014	12:24	mezen	https://doc.ubuntu-fr.org/probleme_apt	https://doc.ubuntu-fr.org/probleme_apt <- ne le pointe pas ou partiellement
																			\	<- ne le pointe pas ou partiellement	
							inform	promote									sam. nov. 01 2014	12:25	nesthib	bonne suggestion mezen ;)	bonne suggestion mezen ;)
																	sam. nov. 01 2014	12:29	obirage	(re)bonjour	(re)bonjour
		requestForInformation										introduceTopic					sam. nov. 01 2014	12:30	obirage	est ce que quelqu'un sait comment , avec devilspie , on peut masquer la barre de titre quand l'application est maximisée	est ce que quelqu'un sait comment, avec devilspie, on peut masquer la barre de titre quand l'application est maximisée
																	sam. nov. 01 2014	12:34	zmo	ehlo o /	ehlo o/
																	sam. nov. 01 2014	12:37	zmo	j'ai un petit problème :	j'ai un petit problème: il y a de nombreuses années j'ai installé ubuntu à ma cousine (musicienne, qui panne que dalle aux ordis), elle était très heureuse avec, je lui ai fait une mise à jour il y a plus longtemps que je m'en rappelle (certainement vers une ubuntu 10.10), et ça juste marche…
																			\	il y a de nombreuses années j'ai installé ubuntu à ma cousine ( musicienne , qui panne que dalle aux ordis ), elle était très heureuse avec , je lui ai fait une mise à jour il y a plus longtemps que je m'en rappelle ( certainement vers une ubuntu 10.10 ), et ça juste marche…	
					inform	unsatisfied						introduceTopic					sam. nov. 01 2014	12:37	zmo	Sauf que là c'est le drame , elle a du faire un raccourci alacon , et activé par mégarde des trucs d'accessibilité qui fait que son ordi " parle " et " que tout son bureau a disparu "	Sauf que là c'est le drame, elle a du faire un raccourci alacon, et activé par mégarde des trucs d'accessibilité qui fait que son ordi "parle" et "que tout son bureau a disparu"
					inform	unsatisfied											sam. nov. 01 2014	12:38	zmo	sauf que moi je suis sous debian , pas ubuntu , et je suis pas à proximité de son ordi .	sauf que moi je suis sous debian, pas ubuntu, et je suis pas à proximité de son ordi. Donc mis à part venir la bouche en coeur le 15/11 à la cité des sciences pour quémander de l'aide, quelqu'un saurait me dire quoi lui dire de chercher (ou quel raccourci clavier faire) pour résoudre son problème?
																			\	Donc mis à part venir la bouche en coeur le 15/11 à la cité des sciences pour quémander de l'aide , quelqu'un saurait me dire quoi lui dire de chercher ( ou quel raccourci clavier faire ) pour résoudre son problème ?	
	anticipateThanking																sam. nov. 01 2014	12:38	zmo	ce serait über gentil :-)	ce serait über gentil :-)
																	sam. nov. 01 2014	12:45	nW44b	c'est dans les options d'accessibilité	c'est dans les options d'accessibilité
																	sam. nov. 01 2014	12:45	nW44b	c'est un truc pour les mal voyants	c'est un truc pour les mal voyants
																	sam. nov. 01 2014	12:45	nW44b	je ne connais pas le raccourci clavier	je ne connais pas le raccourci clavier
		answerByRequestForAction															sam. nov. 01 2014	12:45	nW44b	!wiki options d'accessibilité	!wiki options d'accessibilité
																	sam. nov. 01 2014	12:45	@uBOTu-fr	[Seeks ] :	[Seeks] : http://www.ubuntu-fr.org / http://www.ubuntu-fr.org/telechargement / http://www.ubuntu-fr.org/accueil / http://fr.wikipedia.org/wiki/hypertext_transfer_protocol
																			\	http://www.ubuntu-fr.org / http://www.ubuntu-fr.org/telechargement / http://www.ubuntu-fr.org/accueil / http://fr.wikipedia.org/wiki/hypertext_transfer_protocol	
																	sam. nov. 01 2014	12:46	nW44b	damn !	damn !
		answerByRequestForAction															sam. nov. 01 2014	12:46	Coninox	Alt+Super+s ?	Alt+Super+s ?
																	sam. nov. 01 2014	12:46	nW44b	https://doc.ubuntu-fr.org/orca	https://doc.ubuntu-fr.org/orca
					requestForInformation	satisfied											sam. nov. 01 2014	13:03	mezen	est ce que tu vois les changements ici ?	est ce que tu vois les changements ici? https://doc.ubuntu-fr.org/probleme_apt
																			\	https://doc.ubuntu-fr.org/probleme_apt	
			execution	answerPositively	inform	satisfied											sam. nov. 01 2014	13:04	zmo	ok :-)	ok :-)
		requestForInformation	evaluation	answerNegatively													sam. nov. 01 2014	13:04	nW44b	quels changements ?	quels changements ?
																	sam. nov. 01 2014	13:04	nW44b	ah	ah le point 3 ?
																			\	le point 3 ?	
																	sam. nov. 01 2014	13:04	mezen	la section 3	la section 3
			execution	answerPositively													sam. nov. 01 2014	13:04	nW44b	oui oui	oui oui
																	sam. nov. 01 2014	13:04	zmo	sauf que je crois qu'elle est sous unity , pas gnome3	sauf que je crois qu'elle est sous unity, pas gnome3
												preclosing					sam. nov. 01 2014	13:05	zmo	par contre je dois afk ,	par contre je dois afk, mais je lirai le backlog (mode async+1)
																			\	mais je lirai le backlog ( mode async+1 )	
																	sam. nov. 01 2014	13:05	zmo	(thanks !)	(thanks!)
			execution	answerPositively													sam. nov. 01 2014	13:05	mezen	ok parfait ,	ok parfait, merci
																			\	merci	
																	sam. nov. 01 2014	13:14	mezen	j'ai repris ton problème dans la doc , ça va aider les gens avec un problème similaire	j'ai repris ton problème dans la doc, ça va aider les gens avec un problème similaire
																	sam. nov. 01 2014	13:15	mezen	en section 3 ici :	en section 3 ici: https://doc.ubuntu-fr.org/probleme_apt
