Communication Management	Social Obligations Management	Task Management	Feedback Management-value	Feedback Management	Sentiment Management	Sentiment Management-value	Opinion Management	Opinion Management-value	Emotion Management	Emotion Management-value	Knowledge Management	Discourse Structure Management	Partiality	Conditionality	Certainty	Irony	datetime	participant	segment	raw
																	nov. 01 2014 11:56	aDrz	hello , hello , hello !	hello, hello, hello !
																	nov. 01 2014 11:57	aDrz	bonne journée à vous ,	bonne journée à vous, je chercherais un petit coup de pouce
		requestForHelp															 	\	je chercherais un petit coup de pouce	
												introduceTopic					nov. 01 2014 11:58	aDrz	j'ai ce message suivant http://paste.ubuntu-fr-secours.org/src-139209	j'ai ce message suivant http://paste.ubuntu-fr-secours.org/src-139209
																	nov. 01 2014 11:59	nW44b	mhhhh ,	mhhhh, essaie de supprimer le fichier ubuntu-mate-default-settings_0.3.9~trusty2_all.deb
																	 		essaie de supprimer le fichier ubuntu-mate-default-settings_0.3.9~trusty2_all.deb	
					inform	unsatisfied											nov. 01 2014 11:59	aDrz	et forcément je n'arrive pas à m'en débarrasser	et forcéement je n'arrive pas à m'en débarrasser
		inform															nov. 01 2014 12:00	aDrz	apt-get remove ubuntu-mate-default	apt-get remove ubuntu-mate-default
																	nov. 01 2014 12:00	aDrz	il est pas installer	il est pas installer
		requestForAction															nov. 01 2014 12:00	nW44b	sudo rm / var/cache/apt/archives/ubuntu-mate-default-settings_0.3.9~trusty2_all.deb	sudo rm /var/cache/apt/archives/ubuntu-mate-default-settings_0.3.9~trusty2_all.deb
			execution	answerPositively													nov. 01 2014 12:00	aDrz	okay	okay thx
																	 	\	thx	
		requestForAction															nov. 01 2014 12:00	nW44b	ensuite réessaie de l'installer	ensuite réessaie de l'installer
		inform													uncertain		nov. 01 2014 12:00	nW44b	on dirait que le paquet n'a pas été bien téléchargé	on dirait que le paquet n'a pas été bien téléchargé
															uncertain		nov. 01 2014 12:00	nW44b	enfin c'est l'impression que j'ai	enfin c'est l'impression que j'ai
		answerNegatively															nov. 01 2014 12:00	aDrz	nope	nope
		correct															nov. 01 2014 12:01	aDrz	retelecharger	retelecharger
		inform			inform	unsatisfied											nov. 01 2014 12:01	aDrz	même erreur	même erreur
			execution	answerPositively													nov. 01 2014 12:01	nW44b	ok	ok
		requestForAction															nov. 01 2014 12:01	nW44b	et si tu fais un : 12:01 (nW44b)>+ sudo apt-get install - f	et si tu fais un : sudo apt-get install -f
		requestForInformation															nov. 01 2014 12:01	nW44b	il te dit la même chose ?	il te dit la même chose ?
																	nov. 01 2014 12:01	aDrz	exactement	exactement
																	nov. 01 2014 12:02	nW44b	tu as installé mate via les dépots officiels et tu retentes une autre install via un ppa ?	tu as installé mate via les dépots officiels et tu retentes une autre install via un ppa ?
																	nov. 01 2014 12:02	aDrz	alors 12:02 (aDrz)> c'était pendant un upgrade	alors
																	nov. 01 2014 12:02	aDrz		c'était pendant un upgrade
																	nov. 01 2014 12:03	aDrz	et j'ai du installer le ppa 12:03 (aDrz)> il y a longtemps	et j'ai du installer le ppa
																	nov. 01 2014 12:03	aDrz		il y a longtemps
					inform	unsatisfied											nov. 01 2014 12:03	nW44b	c'est bizare ce conflit , je ne capte pas	c'est bizare ce conflit, je ne capte pas
					inform	unsatisfied											nov. 01 2014 12:04	aDrz	ah ben moi non plus	ah ben moi non plus
																	nov. 01 2014 12:04	aDrz	j'ai essayé 12:04 (aDrz)> de supprimer mate 12:04 (aDrz)> le reinstaller	j'ai essayé
																	nov. 01 2014 12:04	aDrz		de supprimer mate
																	nov. 01 2014 12:04	aDrz		le reinstaller
					inform	unsatisfied											nov. 01 2014 12:04	aDrz	toujours présent le truc	toujours présent le truc
					inform	unsatisfied											nov. 01 2014 12:10	aDrz	condamné à errer dans l'ignorance pour une fichier de 7ko	condamné à errer dans l'ignorance pour une fichier de 7ko
																	nov. 01 2014 12:11	mezen	sudo dpkg - i --force-overwrite / var/cache/apt/archives/ubuntu-mate-default-settings_0.3.9~trusty2_all.deb	sudo dpkg -i --force-overwrite /var/cache/apt/archives/ubuntu-mate-default-settings_0.3.9~trusty2_all.deb
																	nov. 01 2014 12:11	mezen	puis sudo apt-get install - f	puis sudo apt-get install -f
	thanking								inform	happy							nov. 01 2014 12:14	aDrz	woa merci	woa merci
					inform	unsatisfied											nov. 01 2014 12:14	aDrz	impec	impec
																	nov. 01 2014 12:17	nW44b	d'où vient le problème ?	d'où vient le problème ?
																	nov. 01 2014 12:18	mezen	du fait que le paquet a été mal fait	du fait que le paquet a été mal fait
																	nov. 01 2014 12:18	nW44b	arf , sérieux ?	arf, sérieux ? Et ya pas un bug reporté ?
																	 	\	Et ya pas un bug reporté ?	
		answerPositively															nov. 01 2014 12:19	mezen	je suis dessus effectivement	je suis dessus effectivement je cherche
		inform															 	\	je cherche	
		inform			inform	satisfied											nov. 01 2014 12:20	mezen	j'ai trouvé la solution ici en fait	j'ai trouvé la solution ici en fait
																	nov. 01 2014 12:20	mezen	http://askubuntu.com/questions/405862/trying-to-overwrite-file-already-in-shotwell-common-package-while-installing-s	http://askubuntu.com/questions/405862/trying-to-overwrite-file-already-in-shotwell-common-package-while-installing-s
														conditional			nov. 01 2014 12:20	mezen	mais c'est pour le paquet shotwell	mais c'est pour le paquet shotwell
		answer										reportSpeech					nov. 01 2014 12:21	mezen	un gars dit : 12:21 (mezen)>+ You should report such things to the PPA owner . 12:21 (mezen)>+ He 's not separating non-architecture specific files or setting that shotwell breaks/has conflicts with the shotwell-common package .	un gars dit: You should report such things to the PPA owner. He's not separating non-architecture specific files or setting that shotwell breaks/has conflicts with the shotwell-common package.
			execution	answerPositively													nov. 01 2014 12:23	nW44b	ouais logique , c'est un ppa …	ouais logique, c'est un ppa …
		requestForAction															nov. 01 2014 12:23	mezen	peut etre que c'est interessant de mettre dans la doc ce qui est expliqué ici	peut etre que c'est interessant de mettre dans la doc ce qui est expliqué ici
		inform															nov. 01 2014 12:23	mezen	http://www.webupd8.org/2011/02/fix-dpkg-error-trying-to-overwrite-x.html	http://www.webupd8.org/2011/02/fix-dpkg-error-trying-to-overwrite-x.html
																	nov. 01 2014 12:24	mezen	https://doc.ubuntu-fr.org/probleme_apt	https://doc.ubuntu-fr.org/probleme_apt <- ne le pointe pas ou partiellement
																	 	\	<- ne le pointe pas ou partiellement	
							inform	promote									nov. 01 2014 12:25	nesthib	bonne suggestion mezen ;)	bonne suggestion mezen ;)
																	nov. 01 2014 12:29	obirage	(re)bonjour	(re)bonjour
		requestForInformation										introduceTopic					nov. 01 2014 12:30	obirage	est ce que quelqu'un sait comment , avec devilspie , on peut masquer la barre de titre quand l'application est maximisée	est ce que quelqu'un sait comment, avec devilspie, on peut masquer la barre de titre quand l'application est maximisée
																	nov. 01 2014 12:34	zmo	ehlo o /	ehlo o/
																	nov. 01 2014 12:37	zmo	j'ai un petit problème :	j'ai un petit problème: il y a de nombreuses années j'ai installé ubuntu à ma cousine (musicienne, qui panne que dalle aux ordis), elle était très heureuse avec, je lui ai fait une mise à jour il y a plus longtemps que je m'en rappelle (certainement vers une ubuntu 10.10), et ça juste marche…
																	 	\	il y a de nombreuses années j'ai installé ubuntu à ma cousine ( musicienne , qui panne que dalle aux ordis ), elle était très heureuse avec , je lui ai fait une mise à jour il y a plus longtemps que je m'en rappelle ( certainement vers une ubuntu 10.10 ), et ça juste marche…	
					inform	unsatisfied						introduceTopic					nov. 01 2014 12:37	zmo	"Sauf que là c'est le drame , elle a du faire un raccourci alacon , et activé par mégarde des trucs d'accessibilité qui fait que son ordi "" parle "" et "" que tout son bureau a disparu """	"Sauf que là c'est le drame, elle a du faire un raccourci alacon, et activé par mégarde des trucs d'accessibilité qui fait que son ordi ""parle"" et ""que tout son bureau a disparu"""
					inform	unsatisfied											nov. 01 2014 12:38	zmo	sauf que moi je suis sous debian , pas ubuntu , et je suis pas à proximité de son ordi .	sauf que moi je suis sous debian, pas ubuntu, et je suis pas à proximité de son ordi. Donc mis à part venir la bouche en coeur le 15/11 à la cité des sciences pour quémander de l'aide, quelqu'un saurait me dire quoi lui dire de chercher (ou quel raccourci clavier faire) pour résoudre son problème?
																	 	\	Donc mis à part venir la bouche en coeur le 15/11 à la cité des sciences pour quémander de l'aide , quelqu'un saurait me dire quoi lui dire de chercher ( ou quel raccourci clavier faire ) pour résoudre son problème ?	
	anticipateThanking																nov. 01 2014 12:38	zmo	ce serait über gentil :-)	ce serait über gentil :-)
																	nov. 01 2014 12:45	nW44b	c'est dans les options d'accessibilité	c'est dans les options d'accessibilité
																	nov. 01 2014 12:45	nW44b	c'est un truc pour les mal voyants	c'est un truc pour les mal voyants
																	nov. 01 2014 12:45	nW44b	je ne connais pas le raccourci clavier	je ne connais pas le raccourci clavier
		answerByRequestForAction															nov. 01 2014 12:45	nW44b	!wiki options d'accessibilité	!wiki options d'accessibilité
																	nov. 01 2014 12:45	@uBOTu-fr	[Seeks ] :	[Seeks] : http://www.ubuntu-fr.org / http://www.ubuntu-fr.org/telechargement / http://www.ubuntu-fr.org/accueil / http://fr.wikipedia.org/wiki/hypertext_transfer_protocol
																	 	\	http://www.ubuntu-fr.org / http://www.ubuntu-fr.org/telechargement / http://www.ubuntu-fr.org/accueil / http://fr.wikipedia.org/wiki/hypertext_transfer_protocol	
																	nov. 01 2014 12:46	nW44b	damn !	damn !
		answerByRequestForAction															nov. 01 2014 12:46	Coninox	Alt+Super+s ?	Alt+Super+s ?
																	nov. 01 2014 12:46	nW44b	https://doc.ubuntu-fr.org/orca	https://doc.ubuntu-fr.org/orca
					requestForInformation	satisfied											nov. 01 2014 13:03	mezen	est ce que tu vois les changements ici ?	est ce que tu vois les changements ici? https://doc.ubuntu-fr.org/probleme_apt
																	 	\	https://doc.ubuntu-fr.org/probleme_apt	
			execution	answerPositively	inform	satisfied											nov. 01 2014 13:04	zmo	ok :-)	ok :-)
		requestForInformation	evaluation	answerNegatively													nov. 01 2014 13:04	nW44b	quels changements ?	quels changements ?
																	nov. 01 2014 13:04	nW44b	ah	ah le point 3 ?
																	 	\	le point 3 ?	
																	nov. 01 2014 13:04	mezen	la section 3	la section 3
			execution	answerPositively													nov. 01 2014 13:04	nW44b	oui oui	oui oui
																	nov. 01 2014 13:04	zmo	sauf que je crois qu'elle est sous unity , pas gnome3	sauf que je crois qu'elle est sous unity, pas gnome3
												preclosing					nov. 01 2014 13:05	zmo	par contre je dois afk ,	par contre je dois afk, mais je lirai le backlog (mode async+1)
																	 	\	mais je lirai le backlog ( mode async+1 )	
																	nov. 01 2014 13:05	zmo	(thanks !)	(thanks!)
			execution	answerPositively													nov. 01 2014 13:05	mezen	ok parfait ,	ok parfait, merci
																	 	\	merci	
																	nov. 01 2014 13:14	mezen	j'ai repris ton problème dans la doc , ça va aider les gens avec un problème similaire	j'ai repris ton problème dans la doc, ça va aider les gens avec un problème similaire
																	nov. 01 2014 13:15	mezen	en section 3 ici :	en section 3 ici: https://doc.ubuntu-fr.org/probleme_apt
																	 	\	https://doc.ubuntu-fr.org/probleme_apt	
																	nov. 01 2014 13:16	aDrz	content d'avoir pu faire remonter un probleme	content d'avoir pu faire remonter un probleme
																	nov. 01 2014 13:16	mezen	:)	:)
																	nov. 01 2014 13:29	ben123	bonjour	bonjour quelqu'un peu m'aider ?
		requestForHelp															 	\	quelqu'un peu m'aider ?	
		answerNegatively															nov. 01 2014 13:30	davlefou	je suis pas jongleur	je suis pas jongleur, désolé
																	 	\	désolé	
requestForInformation																	nov. 01 2014 13:32	mezen	peut ou peu ?	peut ou peu ? :)
																	 	\	:)	
																	nov. 01 2014 13:32	mezen	je peux aider un peu	je peux aider un peu
